Curing Age,Cement (g),BEANCHAFF,paper ash,Weight of mortar,Temperature,Compressive strength
28,0.925,0.0375,0.0375,0.42,200,11.98
28,1,0,0,0.38,400,5.26
28,0.975,0.0125,0.0125,0.41,400,9.44
28,0.95,0.025,0.025,0.41,400,8.34
28,0.925,0.0375,0.0375,0.39,400,9.47
28,1,0,0,0.37,600,4.67
28,0.975,0.0125,0.0125,0.4,600,6.3
28,0.95,0.025,0.025,0.4,600,5.5
28,0.925,0.0375,0.0375,0.37,600,6.3
28,1,0,0,0.36,800,3.18
28,0.975,0.0125,0.0125,0.39,800,4.56
28,0.95,0.025,0.025,0.39,800,3.73
28,0.925,0.0375,0.0375,0.36,800,4.79
56,1,0,0,0.43,0,6.1
56,0.975,0.0125,0.0125,0.42,0,8.05
56,0.95,0.025,0.025,0.43,0,8.55
56,0.925,0.0375,0.0375,0.44,0,8.2
56,1,0,0,0.39,200,6.17
56,0.975,0.0125,0.0125,0.41,200,7.34
56,0.95,0.025,0.025,0.41,200,8.71
56,0.925,0.0375,0.0375,0.43,200,8.56
56,1,0,0,0.37,400,5.63
56,0.975,0.0125,0.0125,0.4,400,5.7
56,0.95,0.025,0.025,0.39,400,6.63
56,0.925,0.0375,0.0375,0.42,400,6.97
56,1,0,0,0.34,600,4.28
56,0.975,0.0125,0.0125,0.39,600,3.81
56,0.95,0.025,0.025,0.39,600,4.57
56,0.925,0.0375,0.0375,0.41,600,4.95
56,1,0,0,0.33,800,2.5
56,0.975,0.0125,0.0125,0.38,800,2.34
56,0.95,0.025,0.025,0.37,800,2.26
56,0.925,0.0375,0.0375,0.4,800,3.31
